"_id",kanji,cardid,volume
5899e7defe6fca451b59057d,七,2,Series 2 Volume 1
5899e7defe6fca451b590580,上,5,Series 2 Volume 1
5899e7defe6fca451b5905b5,千,58,Series 2 Volume 1
5899e7defe6fca451b590582,不,7,Series 2 Volume 1
5899e7defe6fca451b59058e,仕,19,Series 2 Volume 1
5899e7defe6fca451b590597,作,28,Series 2 Volume 1
5899e7defe6fca451b59057c,一,1,Series 2 Volume 1
5899e7defe6fca451b59058c,人,17,Series 2 Volume 1
5899e7defe6fca451b590595,体,26,Series 2 Volume 1
5899e7defe6fca451b59057e,万,3,Series 2 Volume 1
5899e7defe6fca451b59058b,京,16,Series 2 Volume 1
5899e7defe6fca451b5905a1,全,38,Series 2 Volume 1
5899e7defe6fca451b5905ab,別,48,Series 2 Volume 1
5899e7defe6fca451b59057f,三,4,Series 2 Volume 1
5899e7defe6fca451b59059a,借,31,Series 2 Volume 1
5899e7defe6fca451b5905a6,写,43,Series 2 Volume 1
5899e7defe6fca451b5905b7,半,60,Series 2 Volume 1
5899e7defe6fca451b59058a,五,15,Series 2 Volume 1
5899e7defe6fca451b590587,九,12,Series 2 Volume 1
5899e7defe6fca451b590588,事,13,Series 2 Volume 1
5899e7defe6fca451b5905ae,力,51,Series 2 Volume 1
5899e7defe6fca451b590584,中,9,Series 2 Volume 1
5899e7defe6fca451b59058f,代,20,Series 2 Volume 1
5899e7defe6fca451b590590,以,21,Series 2 Volume 1
5899e7defe6fca451b590581,下,6,Series 2 Volume 1
5899e7defe6fca451b590591,休,22,Series 2 Volume 1
5899e7defe6fca451b590594,住,25,Series 2 Volume 1
5899e7defe6fca451b59059f,光,36,Series 2 Volume 1
5899e7defe6fca451b5905a2,八,39,Series 2 Volume 1
5899e7defe6fca451b5905b9,去,62,Series 2 Volume 1
5899e7defe6fca451b5905bb,取,64,Series 2 Volume 1
5899e7defe6fca451b5905b4,十,57,Series 2 Volume 1
5899e7defe6fca451b5905b6,午,59,Series 2 Volume 1
5899e7defe6fca451b5905ba,友,63,Series 2 Volume 1
5899e7defe6fca451b590585,主,10,Series 2 Volume 1
5899e7defe6fca451b5905a5,円,42,Series 2 Volume 1
5899e7defe6fca451b5905b3,医,56,Series 2 Volume 1
5899e7defe6fca451b59058d,今,18,Series 2 Volume 1
