kanji, cardid,volume
一,1,Series 2 Volume 1
七,2,Series 2 Volume 1
万,3,Series 2 Volume 1
三,4,Series 2 Volume 1
上,5,Series 2 Volume 1
下,6,Series 2 Volume 1
不,7,Series 2 Volume 1
世,8,Series 2 Volume 1
中,9,Series 2 Volume 1
主,10,Series 2 Volume 1
乗,11,Series 2 Volume 1
九,12,Series 2 Volume 1
事,13,Series 2 Volume 1
二,14,Series 2 Volume 1
五,15,Series 2 Volume 1
京,16,Series 2 Volume 1
人,17,Series 2 Volume 1
今,18,Series 2 Volume 1
仕,19,Series 2 Volume 1
代,20,Series 2 Volume 1
以,21,Series 2 Volume 1
休,22,Series 2 Volume 1
会,23,Series 2 Volume 1
低,24,Series 2 Volume 1
住,25,Series 2 Volume 1
体,26,Series 2 Volume 1
何,27,Series 2 Volume 1
作,28,Series 2 Volume 1
使,29,Series 2 Volume 1
便,30,Series 2 Volume 1
借,31,Series 2 Volume 1
働,32,Series 2 Volume 1
元,33,Series 2 Volume 1
兄,34,Series 2 Volume 1
先,35,Series 2 Volume 1
光,36,Series 2 Volume 1
入,37,Series 2 Volume 1
全,38,Series 2 Volume 1
八,39,Series 2 Volume 1
六,40,Series 2 Volume 1
内,41,Series 2 Volume 1
円,42,Series 2 Volume 1
写,43,Series 2 Volume 1
冬,44,Series 2 Volume 1
出,45,Series 2 Volume 1
分,46,Series 2 Volume 1
切,47,Series 2 Volume 1
別,48,Series 2 Volume 1
利,49,Series 2 Volume 1
前,50,Series 2 Volume 1
力,51,Series 2 Volume 1
勉,52,Series 2 Volume 1
動,53,Series 2 Volume 1
北,54,Series 2 Volume 1
区,55,Series 2 Volume 1
医,56,Series 2 Volume 1
十,57,Series 2 Volume 1
千,58,Series 2 Volume 1
午,59,Series 2 Volume 1
半,60,Series 2 Volume 1
南,61,Series 2 Volume 1
去,62,Series 2 Volume 1
友,63,Series 2 Volume 1
取,64,Series 2 Volume 1
口,65,Series 2 Volume 1
古,66,Series 2 Volume 1
台,67,Series 2 Volume 1
右,68,Series 2 Volume 1
合,69,Series 2 Volume 1
同,70,Series 2 Volume 1
名,71,Series 2 Volume 1
味,72,Series 2 Volume 1
品,73,Series 2 Volume 1
員,74,Series 2 Volume 1
問,75,Series 2 Volume 1
四,76,Series 2 Volume 1
回,77,Series 2 Volume 1
図,78,Series 2 Volume 1
国,79,Series 2 Volume 1
土,80,Series 2 Volume 1
